Make Id,Make,Make Model,Model,Trim Description,Engine Id,Engine Fuel Type,Engine Cylinders,Engine Size,Engine Horsepower Hp,Engine Rpm,Engine Drive Type,Engine Transmission,Body Id,Body Type,Body Doors,Body Seats
2,Audi,Audi A6,A6,Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6392,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6392,Sedan,4,5
2,Audi,Audi A6,A6,Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM),6389,mild hybrid,I4,2,248,4300,all wheel drive,7-speed automated manual,6389,Sedan,4,5
2,Audi,Audi A6 allroad,A6 allroad,Premium Plus 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6393,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6393,Wagon,5,5
2,Audi,Audi A6 allroad,A6 allroad,Prestige 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6394,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6394,Wagon,5,5
2,Audi,Audi A7,A7,Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6395,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6395,Sedan,4,5
2,Audi,Audi A7,A7,Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6396,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6396,Sedan,4,5
2,Audi,Audi A7,A7,Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM),6397,mild hybrid,V6,3,335,5000,all wheel drive,7-speed automated manual,6397,Sedan,4,5
2,Audi,Audi A8,A8,L 4dr Sedan AWD w/60 TFSI (4.0L 8cyl Turbo gas/electric mild hybrid 8A),6400,mild hybrid,V8,4,453,5500,all wheel drive,8-speed shiftable automatic,6400,Sedan,4,5
2,Audi,Audi A8,A8,L 4dr Sedan AWD w/60 TFSI e (3.0L 6cyl Turbo gas/electric plug-in hybrid 8A),6399,plug-in hybrid,V6,3,443,,all wheel drive,8-speed shiftable automatic,6399,Sedan,4,5
2,Audi,Audi A8,A8,L 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A),6398,mild hybrid,V6,3,335,5000,all wheel drive,8-speed shiftable automatic,6398,Sedan,4,5
